age,employment_type,annual_income,credit_history_years,dependents,education_level,region,total_credit_limit,used_credit,credit_utilization,loan_count,avg_monthly_spend,total_monthly_debt,debt_to_income,savings_rate,missed_payments_12m,job_loss_flag,medical_expense_flag,income_drop_pct,risk_score,risk_class,default_12m
39,salaried,51297,7,0,graduate,urban,27297,14954,0.548,1,2086,2594,0.607,0.512,0,0,0,0.1,0.4,medium,0
33,salaried,41106,12,1,graduate,metro,30515,20385,0.668,2,2606,878,0.256,0.239,2,0,0,0.1,0.35,medium,1
41,salaried,70233,17,1,graduate,metro,82732,34607,0.418,1,4149,2750,0.47,0.291,1,0,0,0.06,0.05,low,0
50,self_employed,117034,4,1,graduate,rural,70210,7786,0.111,1,4347,6377,0.654,0.554,0,0,0,0.03,0.4,medium,0
32,salaried,23445,13,0,high_school,metro,19589,10211,0.521,2,892,307,0.157,0.543,3,0,0,0.02,0.35,medium,0
32,unemployed,63418,13,0,graduate,urban,24173,15551,0.643,0,2400,2123,0.402,0.546,1,0,0,0.03,0.05,low,0
50,salaried,55267,32,2,high_school,urban,46723,12417,0.266,0,3510,1721,0.374,0.238,0,0,0,0.01,0.05,low,0
42,salaried,83756,4,2,graduate,metro,31883,2851,0.089,3,3286,2415,0.346,0.529,1,0,1,0.05,0.05,low,0
30,self_employed,66609,5,2,post_graduate,rural,77487,23238,0.3,2,3518,3337,0.601,0.366,0,0,0,0.01,0.4,medium,1
40,self_employed,41110,22,1,graduate,urban,38811,23142,0.596,2,1981,1125,0.328,0.422,0,0,0,0.07,0.05,low,0
30,self_employed,51045,4,4,post_graduate,metro,51521,12623,0.245,0,2872,587,0.138,0.325,2,0,1,0.04,0.35,medium,0
30,self_employed,40214,2,1,high_school,metro,37547,12447,0.332,1,2524,467,0.139,0.247,1,1,0,0.6,0.3,medium,0
37,salaried,102539,6,0,graduate,metro,85184,42060,0.494,0,6343,1073,0.126,0.258,1,0,0,0.05,0.05,low,0
18,self_employed,60515,1,2,graduate,rural,42658,13618,0.319,1,3317,1742,0.345,0.342,2,1,0,0.55,0.6,high,1
18,salaried,154909,1,1,graduate,urban,166145,62823,0.378,0,8160,6855,0.531,0.368,0,0,0,0.07,0.05,low,0
29,self_employed,58085,8,1,post_graduate,metro,67445,40060,0.594,2,2898,1075,0.222,0.401,1,0,1,0.05,0.05,low,0
24,salaried,42015,6,2,graduate,metro,31474,5969,0.19,3,2909,1708,0.488,0.169,2,0,0,0.08,0.35,medium,1
38,self_employed,28089,2,1,post_graduate,urban,31975,1266,0.04,2,1323,1199,0.512,0.435,3,0,1,0.07,0.35,medium,0
25,salaried,24304,7,2,high_school,urban,20050,6106,0.305,5,1072,512,0.253,0.471,0,1,0,0.36,0.3,medium,1
20,salaried,27117,1,1,post_graduate,urban,21274,6871,0.323,4,1743,1040,0.46,0.229,0,0,0,0.02,0.05,low,0
